Col,Row,X_Coordinate_MAP,Y_Coordinate_MAP,Original_X_Value,Original_Y_Value
0,10,10,105,-4.5,-0.6
0,9,10,96,-4.5,-0.12
0,8,10,86,-4.5,0.36
0,7,10,77,-4.5,0.84
0,6,10,67,-4.5,1.32
0,5,10,58,-4.5,1.8
0,4,10,48,-4.5,2.28
0,3,10,38,-4.5,2.76
0,2,10,29,-4.5,3.24
0,1,10,19,-4.5,3.72
0,0,10,9,-4.5,4.2
1,10,19,105,-4.02,-0.6
1,9,19,96,-4.02,-0.12
1,8,19,86,-4.02,0.36
1,7,19,77,-4.02,0.84
1,6,19,67,-4.02,1.32
1,5,19,58,-4.02,1.8
1,4,19,48,-4.02,2.28
1,3,19,38,-4.02,2.76
1,2,19,29,-4.02,3.24
1,1,19,19,-4.02,3.72
1,0,19,9,-4.02,4.2
2,10,29,105,-3.54,-0.6
2,9,29,96,-3.54,-0.12
2,8,29,86,-3.54,0.36
2,7,29,77,-3.54,0.84
2,6,29,67,-3.54,1.32
2,5,29,58,-3.54,1.8
2,4,29,48,-3.54,2.28
2,3,29,38,-3.54,2.76
2,2,29,29,-3.54,3.24
2,1,29,19,-3.54,3.72
2,0,29,9,-3.54,4.2
3,10,38,105,-3.06,-0.6
3,9,38,96,-3.06,-0.12
3,8,38,86,-3.06,0.36
3,7,38,77,-3.06,0.84
3,6,38,67,-3.06,1.32
3,5,38,58,-3.06,1.8
3,4,38,48,-3.06,2.28
3,3,38,38,-3.06,2.76
3,2,38,29,-3.06,3.24
3,1,38,19,-3.06,3.72
3,0,38,9,-3.06,4.2
4,10,48,105,-2.58,-0.6
4,9,48,96,-2.58,-0.12
4,8,48,86,-2.58,0.36
4,7,48,77,-2.58,0.84
4,6,48,67,-2.58,1.32
4,5,48,58,-2.58,1.8
4,4,48,48,-2.58,2.28
4,3,48,38,-2.58,2.76
4,2,48,29,-2.58,3.24
4,1,48,19,-2.58,3.72
4,0,48,9,-2.58,4.2
5,10,57,105,-2.1,-0.6
5,9,57,96,-2.1,-0.12
5,8,57,86,-2.1,0.36
5,7,57,77,-2.1,0.84
5,6,57,67,-2.1,1.32
5,5,57,58,-2.1,1.8
5,4,57,48,-2.1,2.28
5,3,57,38,-2.1,2.76
5,2,57,29,-2.1,3.24
5,1,57,19,-2.1,3.72
5,0,57,9,-2.1,4.2
6,10,67,105,-1.62,-0.6
6,9,67,96,-1.62,-0.12
6,8,67,86,-1.62,0.36
6,7,67,77,-1.62,0.84
6,6,67,67,-1.62,1.32
6,5,67,58,-1.62,1.8
6,4,67,48,-1.62,2.28
6,3,67,38,-1.62,2.76
6,2,67,29,-1.62,3.24
6,1,67,19,-1.62,3.72
6,0,67,9,-1.62,4.2
7,10,77,105,-1.14,-0.6
7,9,77,96,-1.14,-0.12
7,8,77,86,-1.14,0.36
7,7,77,77,-1.14,0.84
7,6,77,67,-1.14,1.32
7,5,77,58,-1.14,1.8
7,4,77,48,-1.14,2.28
7,3,77,38,-1.14,2.76
7,2,77,29,-1.14,3.24
7,1,77,19,-1.14,3.72
7,0,77,9,-1.14,4.2
8,10,86,105,-0.66,-0.6
8,9,86,96,-0.66,-0.12
8,8,86,86,-0.66,0.36
8,7,86,77,-0.66,0.84
8,6,86,67,-0.66,1.32
8,5,86,58,-0.66,1.8
8,4,86,48,-0.66,2.28
8,3,86,38,-0.66,2.76
8,2,86,29,-0.66,3.24
8,1,86,19,-0.66,3.72
8,0,86,9,-0.66,4.2
